UID,From Bus,To Bus,R,X,B,Cont Rating,LTE Rating,STE Rating,Tr Ratio,capital_cost
branch_2_3,2,3,0.00108,0.0108,0.01852,80,92,104,0,10
branch_1_2,1,2,0.00281,0.0281,0.00712,66.6,76.6,86.6,0,10
branch_1_4,1,4,0.00304,0.0304,0.00658,66.6,76.6,86.6,0,10
branch_4_10_pri-c,4,10,0.01,0.0297,0.00674,66.6,76.6,86.6,0,10
branch_4_10_sec-c,4,10,0.005, 0.0297,0.00674,66.6,76.6,86.6,0,10
branch_4_10_ter-c,4,10,0.01,0.0297,0.00337,66.6,76.6,86.6,0,10
branch_1_10_pri-c,1,10,0.01,0.0064,0.03126,66.6,76.6,86.6,0,10
branch_1_10_sec-c,1,10,0.005,0.0064,0.03126,66.6,76.6,86.6,0,10
branch_1_10_ter-c,1,10,0.01,0.0064,0.01563,66.6,76.6,86.6,0,10
branch_3_4_0_pri-c,3,4,0.01,0.0297,0.00337,66.6,76.6,86.6,1.05,10
branch_3_4_0_sec-c,3,4,0.005,0.0297,0.00337,66.6,76.6,86.6,1.05,10
branch_3_4_0_ter-c,3,4,0.01,0.0297,0.001685,66.6,76.6,86.6,1.05,10
branch_3_4_1_pri-c,3,4,0.01,0.03274425,0.003056689,28.4,32.7,36.9,0.952380952,10
branch_3_4_1_sec-c,3,4,0.005,0.03274425,0.003056689,28.4,32.7,36.9,0.952380952,10
branch_3_4_1_ter-c,3,4,0.01,0.03274425,0.0015283445,28.4,32.7,36.9,0.952380952,10
